age,asvabc,earnings,ethblack,ethhisp,ethwhite,female,male,married,s,urban
44,52.44865,32.05,0,1,0,0,1,1,12,1
40,59.80938,38.46,0,0,1,0,1,1,14,1
40,29.5486,13,0,1,0,1,0,0,12,1
43,54.08437,32.21,0,0,1,1,0,1,18,1
38,44.8153,27.52,0,0,1,1,0,1,12,1
39,56.53794,15.86,0,0,1,1,0,1,14,1
42,39.36291,8.5,0,1,0,1,0,0,9,1
42,63.89867,18.55,0,0,1,1,0,0,18,1
43,64.44391,10.09,0,0,1,1,0,1,13,0
42,51.90341,16.02,0,0,1,1,0,1,15,1
38,51.63079,31.15,0,0,1,1,0,1,20,1
38,39.63553,6,0,0,1,1,0,1,12,0
38,52.72127,8.65,0,0,1,1,0,1,16,0
39,59.80938,9.4,0,0,1,1,0,1,16,1
39,46.1784,15.47,0,0,1,1,0,1,12,0
42,55.9927,26.33,1,0,0,1,0,1,16,0
39,42.36172,20.19,0,0,1,1,0,0,12,0
37,51.90341,23.93,0,0,1,1,0,1,12,1
39,37.99981,8,0,0,1,1,0,0,12,1
42,38.81767,9.37,1,0,0,1,0,0,12,1
44,49.17721,10.46,0,0,1,1,0,1,12,1
42,54.08437,10.46,0,0,1,1,0,1,14,1
37,36.63671,11.22,0,0,1,1,0,0,12,1
44,58.44628,17.94,0,0,1,1,0,0,13,1
45,58.7189,16.58,0,0,1,1,0,1,12,0
42,45.63316,7.5,0,0,1,1,0,1,12,0
44,52.44865,15.14,0,0,1,1,0,0,12,1
40,63.35343,38.46,0,0,1,1,0,1,16,1
37,64.71653,20.19,0,0,1,1,0,1,12,1
39,52.99389,6.25,0,0,1,1,0,0,12,1
40,48.90459,12.82,0,0,1,1,0,1,13,2
41,40.18077,10.79,1,0,0,1,0,0,12,1
40,60.62724,14.75,0,0,1,1,0,0,12,1
39,55.17484,33.33,0,0,1,1,0,1,16,1
44,60.35461,12,0,0,1,1,0,1,12,0
39,40.45338,8,0,0,1,1,0,0,13,1
41,46.99625,16.15,0,1,0,1,0,1,12,1
41,34.18314,8.33,0,1,0,1,0,0,12,1
40,64.98915,23.31,0,0,1,1,0,1,18,1
43,56.53794,34.18,0,0,1,1,0,0,14,1
42,57.08318,23.64,0,1,0,1,0,0,14,1
41,48.35935,17.3,0,0,1,1,0,1,18,1
42,41.54387,12.12,0,0,1,1,0,1,12,0
38,58.99152,21.15,0,0,1,1,0,1,18,0
40,63.08081,31.01,0,0,1,1,0,1,18,0
38,44.54268,34.34,0,0,1,1,0,1,12,1
42,57.90104,18.37,0,0,1,1,0,0,14,1
43,48.35935,7.08,0,0,1,1,0,1,12,0
37,45.36054,12.5,0,0,1,1,0,0,14,2
39,54.35698,15.54,0,0,1,1,0,0,15,1
43,61.71771,10.5,0,0,1,1,0,0,13,1
44,54.35698,13.5,0,0,1,1,0,1,13,1
39,52.99389,18.5,0,0,1,1,0,0,16,1
40,49.17721,10.48,0,0,1,1,0,0,14,1
38,51.08555,16.84,0,0,1,1,0,1,12,0
42,54.08437,17.62,0,0,1,1,0,1,16,1
41,41.81648,6.75,0,0,1,1,0,0,12,0
39,40.72601,9.7,0,0,1,1,0,0,8,1
43,42.36172,6.25,0,0,1,1,0,1,12,1
44,45.36054,7.9,0,0,1,1,0,1,12,1
40,43.4522,14.3,0,0,1,1,0,1,14,1
40,53.26651,14.75,0,0,1,1,0,1,12,0
37,32.2748,12.35,0,0,1,1,0,1,10,1
38,42.0891,9,0,0,1,1,0,1,10,1
38,61.71771,36.11,0,0,1,1,0,0,13,1
40,59.26414,12,0,0,1,1,0,1,12,0
38,51.08555,15.38,0,0,1,1,0,0,12,1
43,40.99863,6.14,0,0,1,1,0,1,12,1
38,60.082,6,0,0,1,1,0,1,13,0
41,58.99152,5.49,0,0,1,1,0,1,12,0
39,43.17958,7,0,0,1,1,0,1,12,0
42,45.08792,10.25,0,0,1,1,0,1,13,0
43,65.26176,21.15,0,0,1,1,0,1,16,0
41,36.36409,12.92,1,0,0,1,0,0,16,1
39,48.35935,9.88,0,0,1,1,0,1,12,0
37,43.4522,6.75,0,0,1,1,0,1,12,0
42,58.17366,8.55,0,0,1,1,0,1,12,0
42,58.44628,14.5,0,0,1,1,0,1,12,0
37,47.81411,31.39,0,0,1,1,0,1,12,0
40,39.36291,15,0,1,0,1,0,0,12,1
42,51.63079,18.99,0,1,0,1,0,1,12,1
39,36.36409,13.42,1,0,0,1,0,0,12,0
41,55.17484,19.72,0,0,1,1,0,1,14,1
43,63.89867,7.69,0,0,1,1,0,1,16,1
39,57.08318,13.84,0,0,1,1,0,1,17,1
44,62.80819,9.28,0,0,1,1,0,1,17,1
39,58.17366,80.12,0,0,1,1,0,1,20,1
40,58.99152,9.5,0,0,1,1,0,1,19,1
40,44.54268,8.8,0,0,1,1,0,1,12,0
42,51.63079,14,0,0,1,1,0,0,13,1
38,35.81885,10.56,0,1,0,1,0,0,13,0
45,61.99033,16.32,0,0,1,1,0,1,15,0
37,61.17247,17.25,0,0,1,1,0,0,12,1
42,50.26769,16.75,0,0,1,1,0,1,12,1
43,44.54268,7.75,0,0,1,1,0,1,12,0
40,45.63316,16,1,0,0,1,0,0,15,1
41,62.80819,12.75,0,0,1,1,0,1,18,1
41,59.53675,25.1,0,0,1,1,0,1,16,0
40,52.72127,10.75,0,0,1,1,0,1,12,1
43,57.62842,7.75,0,0,1,1,0,1,12,0
42,61.71771,20,0,0,1,1,0,1,14,1
43,56.26532,10,0,0,1,1,0,1,13,1
40,50.26769,11.14,0,0,1,1,0,0,12,1
38,48.63197,21.65,0,0,1,1,0,0,14,1
41,50.54031,48.07,0,0,1,1,0,0,17,1
42,49.17721,13.66,0,0,1,1,0,1,12,1
39,59.53675,23,0,0,1,1,0,0,18,0
44,44.8153,8.3,0,0,1,1,0,1,12,1
44,60.35461,13,0,0,1,1,0,1,16,1
41,56.53794,8.88,0,0,1,1,0,1,12,0
45,55.9927,9.25,0,0,1,1,0,1,12,1
44,48.08673,11,0,0,1,1,0,1,13,1
45,32.54742,17.78,0,0,1,1,0,1,12,0
42,54.6296,12,0,0,1,1,0,1,12,1
40,55.17484,13,0,0,1,1,0,1,14,0
38,35.27361,26.44,0,0,1,1,0,1,16,1
39,50.81293,25.41,0,0,1,1,0,0,14,1
37,58.17366,21.78,0,0,1,1,0,1,16,0
38,41.27124,12.3,0,1,0,1,0,1,14,1
42,51.63079,14.03,0,0,1,1,0,1,14,0
43,41.81648,4.8,0,1,0,1,0,1,12,1
40,62.80819,15,0,0,1,1,0,1,16,1
41,35.81885,18.75,0,0,1,1,0,0,12,1
42,29.00336,12.45,1,0,0,1,0,1,14,1
41,41.27124,7.14,0,0,1,1,0,0,10,1
38,30.9117,5.76,0,1,0,1,0,1,12,0
39,51.63079,8.25,0,0,1,1,0,1,12,1
42,47.5415,9.8,0,0,1,1,0,0,12,1
43,51.08555,8.56,0,0,1,1,0,1,13,0
41,30.63908,9.3,1,0,0,1,0,0,12,1
44,47.81411,23.25,0,0,1,1,0,0,15,0
38,49.17721,15.38,1,0,0,1,0,1,15,1
42,52.72127,12.55,0,0,1,1,0,1,18,1
38,41.81648,7.5,0,0,1,1,0,0,8,0
43,42.0891,11.64,0,0,1,1,0,0,12,1
44,56.26532,10.25,0,0,1,1,0,0,13,1
42,35.81885,7.8,0,1,0,1,0,1,10,1
40,64.98915,18,0,0,1,1,0,0,19,0
37,49.72245,33.46,0,0,1,1,0,1,16,1
37,38.81767,9.13,1,0,0,1,0,0,16,0
40,48.08673,18,0,0,1,1,0,1,12,1
40,59.26414,25.17,0,0,1,1,0,1,16,1
39,45.08792,9,0,0,1,1,0,1,12,1
39,55.44746,39.72,0,0,1,1,0,1,15,1
42,59.26414,16.25,0,0,1,1,0,1,14,1
43,60.62724,21,0,0,1,1,0,0,12,1
41,47.81411,10.52,0,0,1,1,0,0,18,1
39,60.62724,9.25,0,0,1,1,0,0,15,2
41,58.17366,23,0,0,1,1,0,1,16,1
44,63.62605,10.41,0,0,1,1,0,1,16,1
41,33.91051,16,0,1,0,1,0,0,12,1
42,56.81056,11.72,0,0,1,1,0,1,14,0
40,47.81411,8,0,0,1,1,0,0,12,1
41,60.62724,24.03,0,0,1,1,0,0,20,0
41,56.26532,25.09,0,0,1,1,0,1,18,1
38,58.99152,38.46,0,0,1,1,0,0,15,1
43,33.6379,13.7,1,0,0,1,0,0,13,1
41,58.99152,32.05,0,0,1,1,0,1,16,1
38,58.17366,18.02,0,0,1,1,0,1,18,1
42,47.81411,16.75,0,0,1,1,0,1,13,0
38,30.63908,6.5,0,0,1,1,0,0,6,0
42,45.90578,8.5,0,0,1,1,0,1,12,1
40,50.26769,3.88,0,1,0,1,0,0,13,1
37,53.81174,6,0,0,1,1,0,1,12,0
40,60.082,16.62,0,0,1,1,0,1,17,1
43,62.26295,29.06,0,0,1,1,0,0,14,1
44,58.99152,19.6,1,0,0,1,0,1,16,1
38,51.08555,6.15,0,0,1,1,0,1,18,0
41,63.89867,24.12,0,0,1,1,0,0,20,1
40,42.90696,15.78,0,0,1,1,0,1,14,0
38,40.18077,38.46,0,0,1,1,0,1,12,1
44,56.53794,9.61,0,0,1,1,0,0,16,0
41,50.81293,7.57,0,0,1,1,0,1,14,0
39,34.72837,7.85,1,0,0,1,0,0,12,1
43,38.27243,21.16,0,0,1,1,0,1,12,1
40,46.45102,2.6,0,0,1,1,0,1,12,0
37,54.90222,11,0,0,1,1,0,1,18,1
43,63.89867,27.77,0,0,1,1,0,1,20,0
43,53.26651,19.1,1,0,0,1,0,1,16,1
42,58.44628,27.97,0,0,1,1,0,1,12,1
40,38.27243,11.18,0,0,1,1,0,1,12,0
41,63.35343,21.1,0,0,1,1,0,1,16,1
42,50.81293,23.45,0,0,1,1,0,0,14,1
40,40.99863,12.3,0,0,1,1,0,0,12,1
43,64.98915,2.13,0,0,1,1,0,1,13,1
42,33.36528,16.95,0,0,1,1,0,1,16,1
44,64.98915,25.82,0,0,1,1,0,1,12,1
39,49.72245,14.75,0,0,1,1,0,1,12,1
43,47.5415,13.79,0,0,1,1,0,1,13,0
42,57.62842,23,0,0,1,1,0,1,15,1
37,44.8153,12.24,0,1,0,1,0,0,12,0
44,57.08318,10,0,0,1,1,0,1,15,0
44,56.53794,12,0,0,1,1,0,1,12,1
40,52.72127,17,0,0,1,1,0,0,16,1
37,57.90104,36.53,0,0,1,1,0,0,15,2
38,55.72008,12.5,0,0,1,1,0,0,16,1
40,47.5415,10.57,0,0,1,1,0,1,12,0
42,55.72008,7,0,0,1,1,0,1,12,0
39,45.08792,16.34,1,0,0,1,0,0,14,1
37,36.63671,43.85,0,1,0,1,0,0,14,1
42,54.08437,13,0,0,1,1,0,1,14,1
40,49.44983,16.15,0,0,1,1,0,0,12,0
45,58.17366,6.28,0,0,1,1,0,0,15,1
39,57.90104,19.6,0,0,1,1,0,1,12,1
42,64.71653,62.79,0,0,1,1,0,0,16,1
44,57.90104,24.03,0,0,1,1,0,1,13,1
42,63.62605,6.15,0,0,1,1,0,1,12,1
43,44.8153,16.34,0,1,0,1,0,0,12,1
39,46.1784,12.77,0,0,1,1,0,0,12,1
39,37.18195,10.21,0,0,1,1,0,1,12,1
45,60.62724,7,0,0,1,1,0,1,12,0
42,66.07963,17.14,0,0,1,1,0,1,16,1
43,56.81056,27.43,0,0,1,1,0,1,17,1
38,53.81174,23,0,0,1,1,0,1,12,1
40,37.45457,8.72,0,0,1,1,0,0,12,0
45,63.62605,17.76,0,0,1,1,0,0,12,0
41,57.3558,20.63,0,0,1,1,0,1,17,1
39,50.54031,13.75,0,0,1,1,0,0,12,1
39,39.63553,13.8,0,0,1,1,0,0,14,1
45,52.72127,24.03,0,0,1,1,0,1,12,1
40,47.26888,4.54,0,0,1,1,0,1,16,0
40,46.72364,16.82,0,1,0,1,0,1,13,1
39,43.4522,9.5,1,0,0,1,0,0,12,1
39,56.53794,13.86,0,0,1,1,0,1,12,1
42,37.99981,30.55,0,0,1,1,0,1,12,1
42,48.35935,5.37,0,0,1,1,0,1,12,0
45,39.36291,6.1,0,0,1,1,0,1,9,0
42,45.63316,11.97,0,0,1,1,0,0,14,1
41,50.81293,14.28,0,0,1,1,0,1,13,0
41,53.53913,14.33,0,0,1,1,0,0,12,1
40,62.80819,41.66,0,0,1,1,0,1,17,0
43,50.54031,7.79,0,0,1,1,0,1,14,1
38,56.53794,11.87,0,0,1,1,0,0,17,0
44,60.082,19.23,0,0,1,1,0,1,14,1
39,51.35817,6.5,0,0,1,1,0,1,17,1
39,37.45457,6.84,0,0,1,1,0,0,10,1
41,48.90459,7,0,0,1,1,0,0,10,1
42,55.9927,19.99,0,0,1,1,0,0,15,1
43,63.08081,47.86,0,0,1,1,0,1,16,0
40,54.35698,8,0,0,1,1,0,1,13,1
37,43.17958,9.25,0,0,1,1,0,1,12,0
39,50.54031,13.46,0,0,1,1,0,0,13,1
38,55.44746,15,0,0,1,1,0,1,14,0
38,46.72364,8.2,0,0,1,1,0,1,12,1
44,61.71771,12,0,0,1,1,0,0,17,1
38,49.17721,18,0,0,1,1,0,0,12,1
37,40.45338,21.87,0,0,1,1,0,1,12,1
39,33.6379,7,1,0,0,1,0,0,12,1
39,50.81293,12,0,0,1,1,0,1,12,1
43,39.63553,7.23,0,0,1,1,0,0,9,1
39,50.54031,12,0,0,1,1,0,0,12,1
40,45.63316,10.28,0,0,1,1,0,0,12,0
45,57.62842,20.72,0,0,1,1,0,1,12,1
42,62.26295,9.25,0,0,1,1,0,1,13,0
41,50.81293,17.5,1,0,0,1,0,0,12,1
42,54.08437,27.07,0,0,1,1,0,0,17,1
43,56.53794,9,0,0,1,1,0,1,13,2
40,46.45102,9.35,0,0,1,1,0,0,13,1
43,62.26295,29.27,0,0,1,1,0,1,16,0
42,61.99033,36.24,0,0,1,1,0,1,16,1
38,33.36528,9,0,0,1,1,0,1,10,0
40,35.27361,11.5,0,1,0,1,0,0,12,1
42,44.8153,16.53,0,0,1,1,0,1,12,1
45,41.81648,17,0,0,1,1,0,0,12,1
38,61.71771,32,0,0,1,1,0,1,20,1
43,64.17129,15,0,0,1,1,0,1,16,1
39,49.72245,27.32,0,0,1,1,0,0,12,1
38,50.26769,11,1,0,0,1,0,0,13,1
42,46.72364,14.42,0,0,1,1,0,1,13,0
38,52.17603,14.32,0,0,1,1,0,0,12,1
39,61.99033,18.18,0,0,1,1,0,1,12,0
39,51.90341,25.3,0,0,1,1,0,0,16,1
